,action,correct_resp,is_type,resp_time,response,time_of_resp,trial_type,trigger_name,cpu_trigger_time,task,trigger,trigger_time,trigger_index
39,Walk_45L,False,False,2.5299201011657715,left,421.93683791160583,Instrumental,mov_start,419.40691781044006,Bio_Motion,15,1139.506,2279012
40,Control_Crawl_45R,True,False,4.326708793640137,right,428.3640367984772,Instrumental,mov_start,424.03732800483704,Bio_Motion,12,1141.8843,2283768
41,Drive_45L,False,True,7.475459098815918,right,437.9385859966278,Instrumental,mov_start,430.4631268978119,Bio_Motion,15,1145.9657,2291931
42,Control_Crawl_45L,False,False,,timeout,timeout,Instrumental,mov_start,440.037859916687,Bio_Motion,12,1148.0612,2296122
43,Cycle_45R,False,True,9.489948987960815,right,461.84951186180115,Instrumental,mov_start,452.35956287384033,Bio_Motion,15,1153.8747,2307749
44,Control_Walk_45L,True,False,6.791705131530762,right,470.74114894866943,Instrumental,mov_start,463.9494438171387,Bio_Motion,12,1155.9704,2311940
45,Control_Jump_0MM,False,False,5.226401090621948,left,478.06756496429443,Instrumental,mov_start,472.8411638736725,Bio_Motion,15,1159.3363,2318672
46,Crawl_45L,False,False,3.0152089595794678,left,483.1794579029083,Instrumental,mov_start,480.16424894332886,Bio_Motion,12,1161.4362,2322872
47,Control_Wave_0MM,False,False,6.609479904174805,left,491.88796877861023,Instrumental,mov_start,485.2784888744354,Bio_Motion,15,1163.7321,2327464
48,Walk_45R,False,False,2.7443771362304688,left,496.7333369255066,Instrumental,mov_start,493.9889597892761,Bio_Motion,12,1165.8311,2331662
49,Cycle_45L,False,True,2.4139339923858643,right,501.2457129955292,Instrumental,mov_start,498.8317790031433,Bio_Motion,15,1168.9939,2337987
50,Saw_45R,False,True,3.410539150238037,right,506.7573809623718,Instrumental,mov_start,503.3468418121338,Bio_Motion,12,1171.0933,2342186
51,Paint_45L,True,True,4.360011100769043,left,513.2179589271545,Instrumental,mov_start,508.8579478263855,Bio_Motion,15,1176.6866,2353373
52,Sweep_45R,False,True,5.407983064651489,right,520.7272498607635,Instrumental,mov_start,515.3192667961121,Bio_Motion,12,1178.7862,2357572
53,Control_Row_45R,False,False,6.1259520053863525,left,528.9529957771301,Instrumental,mov_start,522.8270437717438,Bio_Motion,15,1184.5292,2369058
54,Sweep_90R,False,True,3.1447038650512695,right,534.1983118057251,Instrumental,mov_start,531.0536079406738,Bio_Motion,12,1186.6286,2373257
55,Control_Saw_0MM,False,False,6.391582012176514,left,542.6903529167175,Instrumental,mov_start,536.298770904541,Bio_Motion,15,1195.2192,2390438
56,Saw_0MM,True,True,3.0113680362701416,left,547.8021149635315,Instrumental,mov_start,544.7907469272614,Bio_Motion,12,1197.19,2394380
57,Control_Walk_45R,True,False,5.2249181270599365,right,555.128655910492,Instrumental,mov_start,549.903737783432,Bio_Motion,15,1203.254,2406508
58,Wave_0MM,False,False,6.857800006866455,left,564.0869009494781,Instrumental,mov_start,557.2291009426117,Bio_Motion,12,1205.6607,2411321
59,Control_Drive_45R,False,False,7.706845998764038,left,573.8943729400635,Instrumental,mov_start,566.1875269412994,Bio_Motion,15,1214.7507,2429501
60,Drive_45R,False,True,5.575837850570679,right,581.5705637931824,Instrumental,mov_start,575.9947259426117,Bio_Motion,12,1216.8511,2433702
61,Control_Paint_45L,False,False,,timeout,timeout,Instrumental,mov_start,583.6723628044128,Bio_Motion,15,1226.012,2452024
62,Control_Saw_45R,True,False,7.87299108505249,right,603.8662629127502,Instrumental,mov_start,595.9932718276978,Bio_Motion,12,1228.2855,2456571
63,Control_Paint_45R,False,False,3.6269829273223877,left,609.5941607952118,Instrumental,mov_start,605.9671778678894,Bio_Motion,15,1230.404,2460808
64,Jump_0MM,False,False,3.06134295463562,left,614.7560698986053,Instrumental,mov_start,611.6947269439697,Bio_Motion,12,1232.835,2465669
65,Row_45L,False,True,6.839091062545776,right,623.6976668834686,Instrumental,mov_start,616.8585758209229,Bio_Motion,15,1234.51,2469020
66,Control_Sweep_45R,False,False,,timeout,timeout,Instrumental,mov_start,625.798810005188,Bio_Motion,12,1236.7705,2473541
67,Paint_45R,False,True,,timeout,timeout,Instrumental,mov_start,638.1350498199463,Bio_Motion,27,1246.847,2493694
68,Crawl_45R,False,False,4.060121059417725,left,654.5184979438782,Instrumental,mov_start,650.4583768844604,Bio_Motion,12,1249.107,2498214
69,Control_Cycle_45L,True,False,7.656527042388916,right,664.2759459018707,Instrumental,mov_start,656.6194188594818,Bio_Motion,15,1259.2091,2518418
70,Control_Row_45L,False,False,,timeout,timeout,Instrumental,mov_start,666.3764419555664,Bio_Motion,12,1261.3097,2522619
71,Row_45R,False,True,,timeout,timeout,Instrumental,mov_start,678.7179307937622,Bio_Motion,15,1265.654,2531308
72,,,,,,,,,,Bio_Motion,1,1289.2597,2578519
73,,,,,,,,,,Bio_Motion,16,1299.2597,2598519
74,,,,,,,,,,Bio_Motion,1,1301.603,2603206
75,,,,,,,,,,Bio_Motion,4,1310.183,2620366
76,,,,,,,,,,Bio_Motion,1,1312.5435,2625087
77,,,,,,,,,,Bio_Motion,4,1321.3020000000001,2642604
78,,,,,,,,,,Bio_Motion,1,1323.611,2647222
79,,,,,,,,,,Bio_Motion,4,1325.9285,2651857
80,,,,,,,,,,Bio_Motion,1,1328.205,2656410
81,,,,,,,,,,Bio_Motion,4,1332.354,2664708
82,,,,,,,,,,Bio_Motion,1,1334.8225,2669644
83,,,,,,,,,,Bio_Motion,4,1342.2979,2684595
84,,,,,,,,,,Bio_Motion,1,1344.3972,2688794
85,,,,,,,,,,Bio_Motion,16,1354.3972,2708794
86,,,,,,,,,,Bio_Motion,1,1356.7189,2713437
87,,,,,,,,,,Bio_Motion,4,1366.2088,2732417
88,,,,,,,,,,Bio_Motion,1,1368.3088,2736617
89,,,,,,,,,,Bio_Motion,4,1375.1005,2750200
90,,,,,,,,,,Bio_Motion,1,1376.9785,2753957
91,,,,,,,,,,Bio_Motion,4,1382.4269,2764853
